12.2.0.4,ac8378741ffc3a2ce7870a87c035c91c2a68a61a34f16e26f4e4419326058e7d
12.0.0.3,b854d0284a8e4d5b8807fb645d95395f257cd20161d1a791934f1a77a79726a7
12.3.3.3,ac8378741ffc3a2ce7870a87c035c91c2a68a61a34f16e26f4e4419326058e7d
13.1.0.1,15ac54efabc68ede1e0752dde89a864e5f4d5381ea6a84154496b6d2f99a03c2
11.4.0.5,b854d0284a8e4d5b8807fb645d95395f257cd20161d1a791934f1a77a79726a7
13.0.0.0,9708afa3824e1b9dec813fdcd05a76c4dbc799694cefe3c4d924f120616d3d83
12.1.0.5,8f906e6d2ec9d0894e26d143ac4d636b6257430b89820e7e0052918037cd42bf
11.3.0.1,b854d0284a8e4d5b8807fb645d95395f257cd20161d1a791934f1a77a79726a7
11.2.0.21,ea395a874201e5d44cc2cfe6e5aa4f1aa6ef492f27c26f9226afd1f44c41776e
11.1.0.17,2816a9fbe4c55eb0e762e3cd91830124a74d55cfb276b395d2022a112a43215a
12.3.0.3,ac8378741ffc3a2ce7870a87c035c91c2a68a61a34f16e26f4e4419326058e7d
12.2.4.3,ac8378741ffc3a2ce7870a87c035c91c2a68a61a34f16e26f4e4419326058e7d