13.0.0.0,12.07.2022
12.2.99.130,16.03.2022
12.2.0.4,15.02.2022
12.1.0.5,08.11.2021
12.0.0.3,09.11.2021
11.2.99.192,13.04.2021
11.2.0.21,02.03.2021
11.1.0.17,10.11.2020
11.0.2.0,18.08.2020
11.0.0.3,05.08.2020
10.3.1.4,01.06.2020
10.3.1.0,19.05.2020
10.2.0.100,16.03.2020
10.1.4.0,11.02.2020
10.1.3.7,14.01.2020
10.1.1.0,10.12.2020
10.1.0.30,03.12.2019
10.0.6.2,05.11.2019
10.0.3.0,07.10.2019
10.0.0.43,23.09.2019
9.4.1.1,05.09.2019
9.4.1.0,05.08.2019
9.4.0.51,24.07.2019
9.3.0.23,25.06.2019
9.3.0.22,21.05.2019
9.2.3.0,30.04.2019
9.2.0.5,02.04.2019
9.1.4.2,11.12.2018
9.0.0.20,29.08.2018
9.0.0.19,23.08.2018
9.0.0.18,14.08.2018
8.3.3.2,31.05.2018
8.3.0.19,07.05.2018
8.2.0.16,20.03.2018
8.2.0.15,05.03.2018
8.1.5.0,25.01.2018
8.1.3.0,09.01.2018
8.1.0.25,14.12.2017
8.1.0.24,04.12.2017
8.0.2.1,31.10.2017
8.0.0.33,09.10.2017